"","ï..Title","Authors","Source.Title","Publication.Year","Volume","Total.Citations","Average"
"78","PROFESSIONAL AUTONOMY AND PASTORAL POWER: THE TRANSFORMATION OF QUALITY REGISTERS IN SWEDISH HEALTH CARE","Bejerot, Eva; Hasselbladh, Hans","PUBLIC ADMINISTRATION",2011,89,29,2.42
"79","The concept of soft power in China's strategic discourse","Wuthnow, Joel","ISSUES & STUDIES",2008,44,36,2.4
"80","Russia's Soft Power Discourse: Identity, Status and the Attraction of Power","Kiseleva, Yulia","POLITICS",2015,35,19,2.38
"81","education as a source and tool of soft power in international relations","Wojciuk, Anna; Michalek, Maciej; Stormowska, Marta","EUROPEAN POLITICAL SCIENCE",2015,14,19,2.38
"82","Model power or reference point? The EU and the ASEAN Charter","Wong, Reuben","CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS",2012,25,26,2.36
"83","When soft power turns hard: Is an EU strategic culture possible?","Matlary, Janne Haaland","SECURITY DIALOGUE",2006,37,40,2.35
"84","Emerging Powers and Africa: Implications for/from Global Governance?","Shaw, Timothy M.; Cooper, Andrew F.; Chin, Gregory T.","POLITIKON",2009,36,32,2.29
"85","China in Africa: An Analysis of the Effect of Chinese Media Expansion on African Public Opinion","Bailard, Catie Snow","INTERNATIONAL JOURNAL OF PRESS-POLITICS",2016,21,16,2.29
"86","Soft Power, Religion, and Anti-Americanism in the Middle East","Ciftci, Sabri; Tezcur, Gunes Murat","FOREIGN POLICY ANALYSIS",2016,12,16,2.29
"87","Like Me, Buy Me: The Effect of Soft Power on Exports","Rose, Andrew K.","ECONOMICS & POLITICS",2016,28,16,2.29
"88","Ideas and Change in Foreign Policy Instruments: Soft Power and the Case of the Turkish International Cooperation and Development Agency","Ipek, Pinar","FOREIGN POLICY ANALYSIS",2015,11,18,2.25
"89","Desecuritisation as a soft power strategy: the Belt and Road Initiative, European fragmentation and China's normative influence in Central-Eastern Europe","Jakimow, Malgorzata","ASIA EUROPE JOURNAL",2019,17,9,2.25
"90","'Soft power is such a benign animal': narrative power and the reification of concepts in Japan","Winkler, Stephanie Christine","CAMBRIDGE REVIEW OF INTERNATIONAL AFFAIRS",2019,32,9,2.25
"91","'Greatpowerness' as the key element of Russian self-consciousness under erosion","Urnov, Mark","COMMUNIST AND POST-COMMUNIST STUDIES",2014,47,20,2.22
"92","Realising Australia's international education as public diplomacy","Byrne, Caitlin; Hall, Rebecca","AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS",2013,67,22,2.2
"93","The seductive force of 'noumenal power': a new path (or impasse) for critical theory?","Susen, Simon","JOURNAL OF POLITICAL POWER",2018,11,11,2.2
"94","Scope, mechanism, and outcome: arguing soft power in the context of public diplomacy","Hayden, Craig","JOURNAL OF INTERNATIONAL RELATIONS AND DEVELOPMENT",2017,20,13,2.17
"95","How US decision-makers assessed their control of multilateral organizations, 1957-1982","McKeown, Timothy J.","REVIEW OF INTERNATIONAL ORGANIZATIONS",2009,4,30,2.14
"96","China in the South Pacific: hegemon on the horizon?","Yang, Jian","PACIFIC REVIEW",2009,22,30,2.14
"97","The Reinvention of Traditional Values': Nataliya Narochnitskaya and Russia's Assault on Universal Human Rights","Horvath, Robert","EUROPE-ASIA STUDIES",2016,68,15,2.14
"98","Soft Power: A Comparison of Discourse and Practice in Russia and China","Wilson, Jeanne L.","EUROPE-ASIA STUDIES",2015,67,17,2.13
"99","The Shadows of Normative Power in Asia: Framing the International Agency of China, India, and Japan","Kavalski, Emilian","PACIFIC FOCUS",2014,29,19,2.11
"100","The Strategic Use of Soft Balancing: The Normative Dimensions of the Chinese-Russian 'Strategic Partnership'","Ferguson, Chaka","JOURNAL OF STRATEGIC STUDIES",2012,35,23,2.09
"101","Irish-America, the end of the IRA's armed struggle and the utility of 'soft power'","Cochrane, Feargal","JOURNAL OF PEACE RESEARCH",2007,44,33,2.06
"102","China's naval ambitions in the Indian Ocean","Holmes, James R.; Yoshihara, Toshi","JOURNAL OF STRATEGIC STUDIES",2008,31,30,2
"103","Hobbes on the Causes of War","Abizadeh, Arash","AMERICAN POLITICAL SCIENCE REVIEW",2011,105,24,2
"104","Building National Cohesion and Domestic Legitimacy: A Regime Security Approach to Soft Power in China","Edney, Kingsley","POLITICS",2015,35,16,2
"105","Thinking About the Role of Popular Culture in International Conflicts","Press-Barnathan, Galia","INTERNATIONAL STUDIES REVIEW",2017,19,12,2
"106","The ritual creation of political symbols: International exchanges in public diplomacy","Pacher, Andreas","BRITISH JOURNAL OF POLITICS & INTERNATIONAL RELATIONS",2018,20,10,2
"107","Russian Energy Policy and Structural Power in Europe","Proedrou, Filippos","EUROPE-ASIA STUDIES",2018,70,10,2
"108","Interactions between hard and soft power: The institutional adaptation of international intellectual property protection to global power shifts","Dassler, Benjamin; Kruck, Andreas; Zangl, Bernhard","EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS",2019,25,8,2
"109","Has Trump Damaged the US Image Abroad? Decomposing the Effects of Policy Messages on Foreign Public Opinion","Agadjanian, Alexander; Horiuchi, Yusaku","POLITICAL BEHAVIOR",2020,42,6,2
"110","Looking inward: How does Chinese public diplomacy work at home?","Yang, Yifan","BRITISH JOURNAL OF POLITICS & INTERNATIONAL RELATIONS",2020,22,6,2
"111","Sports mega-events and shaping the international image of states: how hosting the Olympic Games and FIFA World Cups affects interest in host nations","Kobierecki, Michal Marcin; Strozek, Piotr","INTERNATIONAL POLITICS",2021,58,6,2
"112","COVID-19 and China's Changing Soft Power in Italy","Chen, Wei A.","CHINESE POLITICAL SCIENCE REVIEW",2021,NA,4,2
"113","Turkish foreign policy in a post-western order: strategic autonomy or new forms of dependence?","Kutlay, Mustafa; Onis, Ziya","INTERNATIONAL AFFAIRS",2021,97,4,2
